Parsed result for candidate PRECINCTS COUNTED - TOTAL (000), no party, in race PRECINCTS COUNTED - TOTAL (0000) with 0 votes
Parsed result for candidate VOTERS (001), no party, in race REGISTERED VOTERS - TOTAL (0001) with 1514912 votes
Parsed result for candidate BALLOTS CAST (001), no party, in race BALLOTS CAST - TOTAL (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (002), NON party, in race BALLOTS CAST - Nonpartisan (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (003), DEM party, in race BALLOTS CAST - Democratic (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (004), REP party, in race BALLOTS CAST - Republican (0002) with 0 votes
Parsed result for candidate BALLOTS CAST (005), GRN party, in race BALLOTS CAST - Green (0002) with 0 votes
Parsed result for candidate Bertina E. Lampkin (001), DEM party, in race Appellate Court Judge (Vacancy of Quinn) (0085) with 0 votes
Parsed result for candidate John Fitzgerald Lyke, Jr. (001), DEM party, in race Circuit Court Judge (Vacancy of Biebel, Jr.) (0086) with 0 votes
Parsed result for candidate Scott Edward Lipinski (001), DEM party, in race Circuit Court Judge (Vacancy of Elrod) (0087) with 0 votes
Parsed result for candidate Rossana Patricia Fernandez (002), DEM party, in race Circuit Court Judge (Vacancy of Elrod) (0087) with 0 votes
Parsed result for candidate Michael I. O'Malley (001), DEM party, in race Circuit Court Judge (Vacancy of Hogan) (0088) with 0 votes
Parsed result for candidate Alison C. Conlon (002), DEM party, in race Circuit Court Judge (Vacancy of Hogan) (0088) with 0 votes
Parsed result for candidate Aleksandra ''Alex'' Gillespie (001), DEM party, in race Circuit Court Judge (Vacancy of Howlett, Jr.) (0089) with 0 votes
Parsed result for candidate Thomas Maloney Cushing (002), DEM party, in race Circuit Court Judge (Vacancy of Howlett, Jr.) (0089) with 0 votes
Parsed result for candidate Gregory Raymond LaPapa (001), DEM party, in race Circuit Court Judge (Vacancy of Johnson) (0090) with 0 votes
Parsed result for candidate Sean S. Chaudhuri (002), DEM party, in race Circuit Court Judge (Vacancy of Johnson) (0090) with 0 votes
Parsed result for candidate Mark A. Lyon (003), DEM party, in race Circuit Court Judge (Vacancy of Johnson) (0090) with 0 votes
Parsed result for candidate Carolyn J. Gallagher (004), DEM party, in race Circuit Court Judge (Vacancy of Johnson) (0090) with 0 votes
Parsed result for candidate Bonnie Carol McGrath (005), DEM party, in race Circuit Court Judge (Vacancy of Johnson) (0090) with 0 votes
Parsed result for candidate Mary Kathleen McHugh (001), DEM party, in race Circuit Court Judge (Vacancy of Karnezis) (0091) with 0 votes
Parsed result for candidate Devlin J. Schoop (002), DEM party, in race Circuit Court Judge (Vacancy of Karnezis) (0091) with 0 votes
Parsed result for candidate Brian J O'Hara (003), DEM party, in race Circuit Court Judge (Vacancy of Karnezis) (0091) with 0 votes
Parsed result for candidate Brendan A. O'Brien (001), DEM party, in race Circuit Court Judge (Vacancy of Love) (0092) with 0 votes
Parsed result for candidate Maureen O'Donoghue Hannon (001), DEM party, in race Circuit Court Judge (Vacancy of O'Brien) (0093) with 0 votes
Parsed result for candidate Pat Heneghan (001), DEM party, in race Circuit Court Judge (Vacancy of Palmer) (0094) with 0 votes
Parsed result for candidate Susana L. Ortiz (002), DEM party, in race Circuit Court Judge (Vacancy of Palmer) (0094) with 0 votes
Parsed result for candidate Deidre Baumann (003), DEM party, in race Circuit Court Judge (Vacancy of Palmer) (0094) with 0 votes
Parsed result for candidate William S. Wojcik (002), DEM party, in race Circuit Court Judge (Vacancy of Ruscitti Grussel) (0095) with 0 votes
Parsed result for candidate Daniel Patrick Duffy (003), DEM party, in race Circuit Court Judge (Vacancy of Ruscitti Grussel) (0095) with 0 votes
Parsed result for candidate Monica M. Torres-Linares (004), DEM party, in race Circuit Court Judge (Vacancy of Ruscitti Grussel) (0095) with 0 votes
Parsed result for candidate Patrick Joseph Powers (001), DEM party, in race Circuit Court Judge (Vacancy of Walsh) (0096) with 0 votes
Parsed result for candidate Fredrick H. Bates (002), DEM party, in race Circuit Court Judge (Vacancy of Walsh) (0096) with 0 votes
Parsed result for candidate Jesse Outlaw (001), DEM party, in race Judge, 1st Subcircuit (Vacancy of Brim) (0097) with 0 votes
Parsed result for candidate Maryam Ahmad (002), DEM party, in race Judge, 1st Subcircuit (Vacancy of Brim) (0097) with 0 votes
Parsed result for candidate Anthony E. Simpkins (001), DEM party, in race Judge, 1st Subcircuit (Vacancy of Hopkins) (0098) with 0 votes
Parsed result for candidate Rhonda Crawford (002), DEM party, in race Judge, 1st Subcircuit (Vacancy of Hopkins) (0098) with 0 votes
Parsed result for candidate Lisa A. Copland (003), DEM party, in race Judge, 1st Subcircuit (Vacancy of Hopkins) (0098) with 0 votes
Parsed result for candidate Celeste K. Jones (001), DEM party, in race Judge, 2nd Subcircuit (Vacancy of Savage) (0099) with 0 votes
Parsed result for candidate Chelsey R. Robinson (002), DEM party, in race Judge, 2nd Subcircuit (Vacancy of Savage) (0099) with 0 votes
Parsed result for candidate D. Renee Jackson (003), DEM party, in race Judge, 2nd Subcircuit (Vacancy of Savage) (0099) with 0 votes
Parsed result for candidate Travis Richardson (004), DEM party, in race Judge, 2nd Subcircuit (Vacancy of Savage) (0099) with 0 votes
Parsed result for candidate Jameika Mangum (001), DEM party, in race Judge, 5th Subcircuit (Vacancy of Eadie-Daniels) (0100) with 0 votes
Parsed result for candidate Leonard Murray (002), DEM party, in race Judge, 5th Subcircuit (Vacancy of Eadie-Daniels) (0100) with 0 votes
Parsed result for candidate Freddrenna M. Lyle (001), DEM party, in race Judge, 5th Subcircuit (Vacancy of Stuart) (0101) with 0 votes
Parsed result for candidate Daryl Jones (001), DEM party, in race Judge, 5th Subcircuit (Vacancy of Williams) (0102) with 0 votes
Parsed result for candidate Robin Denise Shoffner (002), DEM party, in race Judge, 5th Subcircuit (Vacancy of Williams) (0102) with 0 votes
Parsed result for candidate Eulalia ''Evie'' De La Rosa (001), DEM party, in race Judge, 6th Subcircuit (Vacancy of Ponce de Leon) (0103) with 0 votes
Parsed result for candidate Richard C. Cooke (001), DEM party, in race Judge, 6th Subcircuit (Vac of Gonzalez Santiago) (0104) with 0 votes
Parsed result for candidate Anna Loftus (001), DEM party, in race Judge, 6th Subcircuit (Additional Judgeship A) (0105) with 0 votes
Parsed result for candidate Edward J. Underhill (002), DEM party, in race Judge, 6th Subcircuit (Additional Judgeship A) (0105) with 0 votes
Parsed result for candidate Carlos Claudio (003), DEM party, in race Judge, 6th Subcircuit (Additional Judgeship A) (0105) with 0 votes
Parsed result for candidate Marianne Jackson (001), DEM party, in race Judge, 7th Subcircuit (Vacancy of Burrell) (0106) with 0 votes
Parsed result for candidate Patricia ''Pat'' S. Spratt (001), DEM party, in race Judge, 7th Subcircuit (Vac of Rivkin-Carothers) (0107) with 0 votes
Parsed result for candidate Christopher J. Stuart (002), DEM party, in race Judge, 7th Subcircuit (Vac of Rivkin-Carothers) (0107) with 0 votes
Parsed result for candidate Jennifer Ballard (003), DEM party, in race Judge, 7th Subcircuit (Vac of Rivkin-Carothers) (0107) with 0 votes
Parsed result for candidate Mable Taylor (004), DEM party, in race Judge, 7th Subcircuit (Vac of Rivkin-Carothers) (0107) with 0 votes
Parsed result for candidate Patrick D. John (005), DEM party, in race Judge, 7th Subcircuit (Vac of Rivkin-Carothers) (0107) with 0 votes
Parsed result for candidate Rosa Silva (006), DEM party, in race Judge, 7th Subcircuit (Vac of Rivkin-Carothers) (0107) with 0 votes
Parsed result for candidate Thomas Peter Kougias (001), DEM party, in race Judge, 9th Subcircuit (Vacancy of Berman) (0108) with 0 votes
Parsed result for candidate Jerry Esrig (002), DEM party, in race Judge, 9th Subcircuit (Vacancy of Berman) (0108) with 0 votes
Parsed result for candidate Colleen Reardon Daly (001), DEM party, in race Judge, 10th Subcircuit (Vacancy of Howard) (0109) with 0 votes
Parsed result for candidate Eve Marie Reilly (002), DEM party, in race Judge, 10th Subcircuit (Vacancy of Howard) (0109) with 0 votes
Parsed result for candidate Michael John Malatesta (003), DEM party, in race Judge, 10th Subcircuit (Vacancy of Howard) (0109) with 0 votes
Parsed result for candidate Richard ''Rick'' Cenar (004), DEM party, in race Judge, 10th Subcircuit (Vacancy of Howard) (0109) with 0 votes
Parsed result for candidate Marc Martin (001), DEM party, in race Judge, 11th Subcircuit (Vacancy of Kelly) (0110) with 0 votes
Parsed result for candidate James DiChristofano (002), DEM party, in race Judge, 11th Subcircuit (Vacancy of Kelly) (0110) with 0 votes
Parsed result for candidate Catherine Ann Schneider (003), DEM party, in race Judge, 11th Subcircuit (Vacancy of Kelly) (0110) with 0 votes
Parsed result for candidate William B. Sullivan (001), DEM party, in race Judge, 11th Subcircuit (Vacancy of Zwick) (0111) with 0 votes
Parsed result for candidate Matthew Link (001), DEM party, in race Judge, 14th Subcircuit (Vacancy of Ruble Murphy) (0112) with 0 votes
Parsed result for candidate Proco ''Joe'' Moreno (001), DEM party, in race Ward Committeeman, Dem 1st (0113) with 0 votes
Parsed result for candidate Maria Teresa Gonzalez (002), DEM party, in race Ward Committeeman, Dem 1st (0113) with 0 votes
Parsed result for candidate Tim Egan (001), DEM party, in race Ward Committeeman, Dem 2nd (0114) with 0 votes
Parsed result for candidate Pat Dowell (001), DEM party, in race Ward Committeeman, Dem 3rd (0115) with 0 votes
Parsed result for candidate Toni Reed Preckwinkle (001), DEM party, in race Ward Committeeman, Dem 4th (0116) with 0 votes
Parsed result for candidate Leslie A. Hairston (001), DEM party, in race Ward Committeeman, Dem 5th (0117) with 0 votes
Parsed result for candidate Roderick T. Sawyer (001), DEM party, in race Ward Committeeman, Dem 6th (0118) with 0 votes
Parsed result for candidate Gregory I. Mitchell (001), DEM party, in race Ward Committeeman, Dem 7th (0119) with 0 votes
Parsed result for candidate Michelle A. Harris (001), DEM party, in race Ward Committeeman, Dem 8th (0120) with 0 votes
Parsed result for candidate Anthony A. Beale (001), DEM party, in race Ward Committeeman, Dem 9th (0121) with 0 votes
Parsed result for candidate Fred Carrizales (001), DEM party, in race Ward Committeeman, Dem 10th (0122) with 0 votes
Parsed result for candidate Susan Sadlowski Garza (002), DEM party, in race Ward Committeeman, Dem 10th (0122) with 0 votes
Parsed result for candidate John P. Daley (001), DEM party, in race Ward Committeeman, Dem 11th (0123) with 0 votes
Parsed result for candidate George Cardenas (001), DEM party, in race Ward Committeeman, Dem 12th (0124) with 0 votes
Parsed result for candidate Antonio ''Tony'' Munoz (002), DEM party, in race Ward Committeeman, Dem 12th (0124) with 0 votes
Parsed result for candidate Michael J. Madigan (001), DEM party, in race Ward Committeeman, Dem 13th (0125) with 0 votes
Parsed result for candidate Edward M. Burke (001), DEM party, in race Ward Committeeman, Dem 14th (0126) with 0 votes
Parsed result for candidate Raymond A. Lopez (001), DEM party, in race Ward Committeeman, Dem 15th (0127) with 0 votes
Parsed result for candidate Toni L. Foulkes (001), DEM party, in race Ward Committeeman, Dem 16th (0128) with 0 votes
Parsed result for candidate Nathan Wilson (002), DEM party, in race Ward Committeeman, Dem 16th (0128) with 0 votes
Parsed result for candidate Stephanie D. Coleman (003), DEM party, in race Ward Committeeman, Dem 16th (0128) with 0 votes
Parsed result for candidate David Moore (001), DEM party, in race Ward Committeeman, Dem 17th (0129) with 0 votes
Parsed result for candidate Derrick G. Curtis (001), DEM party, in race Ward Committeeman, Dem 18th (0130) with 0 votes
Parsed result for candidate Matthew J. O'Shea (001), DEM party, in race Ward Committeeman, Dem 19th (0131) with 0 votes
Parsed result for candidate Kevin Bailey (001), DEM party, in race Ward Committeeman, Dem 20th (0132) with 0 votes
Parsed result for candidate Howard B. Brookins, Jr. (001), DEM party, in race Ward Committeeman, Dem 21st (0133) with 0 votes
Parsed result for candidate Michael D. Rodriguez (001), DEM party, in race Ward Committeeman, Dem 22nd (0134) with 0 votes
Parsed result for candidate Michael R. Zalewski (001), DEM party, in race Ward Committeeman, Dem 23rd (0135) with 0 votes
Parsed result for candidate Charles M. Hughes (002), DEM party, in race Ward Committeeman, Dem 23rd (0135) with 0 votes
Parsed result for candidate Michael Scott, Jr. (001), DEM party, in race Ward Committeeman, Dem 24th (0136) with 0 votes
Parsed result for candidate Daniel ''Danny'' Solis (001), DEM party, in race Ward Committeeman, Dem 25th (0137) with 0 votes
Parsed result for candidate Roberto Maldonado (001), DEM party, in race Ward Committeeman, Dem 26th (0138) with 0 votes
Parsed result for candidate Walter Burnett, Jr. (001), DEM party, in race Ward Committeeman, Dem 27th (0139) with 0 votes
Parsed result for candidate Jason C. Ervin (001), DEM party, in race Ward Committeeman, Dem 28th (0140) with 0 votes
Parsed result for candidate Christopher Taliaferro (001), DEM party, in race Ward Committeeman, Dem 29th (0141) with 0 votes
Parsed result for candidate Ariel E. Reboyras (001), DEM party, in race Ward Committeeman, Dem 30th (0142) with 0 votes
Parsed result for candidate Noe Favela (002), DEM party, in race Ward Committeeman, Dem 30th (0142) with 0 votes
Parsed result for candidate Joseph Berrios (001), DEM party, in race Ward Committeeman, Dem 31st (0143) with 0 votes
Parsed result for candidate Scott Waguespack (001), DEM party, in race Ward Committeeman, Dem 32nd (0144) with 0 votes
Parsed result for candidate Richard F. Mell (001), DEM party, in race Ward Committeeman, Dem 33rd (0145) with 0 votes
Parsed result for candidate Aaron Goldstein (002), DEM party, in race Ward Committeeman, Dem 33rd (0145) with 0 votes
Parsed result for candidate Carrie M. Austin (001), DEM party, in race Ward Committeeman, Dem 34th (0146) with 0 votes
Parsed result for candidate Carlos Ramirez-Rosa (001), DEM party, in race Ward Committeeman, Dem 35th (0147) with 0 votes
Parsed result for candidate Luis Arroyo (001), DEM party, in race Ward Committeeman, Dem 36th (0148) with 0 votes
Parsed result for candidate Emma M. Mitts (001), DEM party, in race Ward Committeeman, Dem 37th (0149) with 0 votes
Parsed result for candidate Nicholas Sposato (001), DEM party, in race Ward Committeeman, Dem 38th (0150) with 0 votes
Parsed result for candidate Robert Murphy (001), DEM party, in race Ward Committeeman, Dem 39th (0151) with 0 votes
Parsed result for candidate Patrick Molloy (002), DEM party, in race Ward Committeeman, Dem 39th (0151) with 0 votes
Parsed result for candidate Patrick J. O'Connor (001), DEM party, in race Ward Committeeman, Dem 40th (0152) with 0 votes
Parsed result for candidate Dianne Daleiden (002), DEM party, in race Ward Committeeman, Dem 40th (0152) with 0 votes
Parsed result for candidate Andrew Devito (001), DEM party, in race Ward Committeeman, Dem 41st (0153) with 0 votes
Parsed result for candidate Tim Heneghan (002), DEM party, in race Ward Committeeman, Dem 41st (0153) with 0 votes
Parsed result for candidate Goran Davidovac (003), DEM party, in race Ward Committeeman, Dem 41st (0153) with 0 votes
Parsed result for candidate Brendan Reilly (001), DEM party, in race Ward Committeeman, Dem 42nd (0154) with 0 votes
Parsed result for candidate Lucy Moog (001), DEM party, in race Ward Committeeman, Dem 43rd (0155) with 0 votes
Parsed result for candidate Tom Tunney (001), DEM party, in race Ward Committeeman, Dem 44th (0156) with 0 votes
Parsed result for candidate John S. Arena (001), DEM party, in race Ward Committeeman, Dem 45th (0157) with 0 votes
Parsed result for candidate James Cappleman (001), DEM party, in race Ward Committeeman, Dem 46th (0158) with 0 votes
Parsed result for candidate Paul Rosenfeld (001), DEM party, in race Ward Committeeman, Dem 47th (0159) with 0 votes
Parsed result for candidate Carol Ronen (001), DEM party, in race Ward Committeeman, Dem 48th (0160) with 0 votes
Parsed result for candidate Joe Moore (001), DEM party, in race Ward Committeeman, Dem 49th (0161) with 0 votes
Parsed result for candidate Ira I. Silverstein (001), DEM party, in race Ward Committeeman, Dem 50th (0162) with 0 votes
Parsed result for candidate Jeb Bush (001), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Chris Christie (002), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Donald J. Trump (003), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Ted Cruz (004), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Marco Rubio (005), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Rand Paul (006), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Carly Fiorina (007), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Mike Huckabee (008), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Rick Santorum (009), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate John R. Kasich (010), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate Ben Carson (011), REP party, in race President, U.S. (0163) with 0 votes
Parsed result for candidate James T. Marter (001), REP party, in race Senator, U.S. (0164) with 0 votes
Parsed result for candidate Mark Steven Kirk (002), REP party, in race Senator, U.S. (0164) with 0 votes
Parsed result for candidate Leslie Geissler Munger (001), REP party, in race Comptroller, State of Illinois (0165) with 0 votes
Parsed result for candidate August (O'Neill) Deuser (001), REP party, in race U.S. Representative, 1st District (0166) with 0 votes
Parsed result for candidate Jimmy Lee Tillman, II (002), REP party, in race U.S. Representative, 1st District (0166) with 0 votes
Parsed result for candidate John F Morrow (001), REP party, in race U.S. Representative, 2nd District (0167) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race U.S. Representative, 3rd District (0168) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race U.S. Representative, 4th District (0169) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race U.S. Representative, 5th District (0170) with 0 votes
Parsed result for candidate No Candidate (001), REP party, in race U.S. Representative, 7th District (0171) with 0 votes
Parsed result for candidate Joan McCarthy Lasonde (001), REP party, in race U.S. Representative, 9th District (0172) with 0 votes
Parsed result for candidate Robert Russell Kijak (Christie) (001), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Jean Wayner (Christie) (002), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Antonio Alonso (Trump) (003), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Michael Burke (Trump) (004), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Christopher Hilliard (Trump) (005), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Kirstie Ann Brenson (Bush) (006), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Jeffrey S. Arseneau (Bush) (007), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Patrick E. Rea (Bush) (008), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Karen Ann Hayes (Cruz) (009), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Audrey A. Tancos (Cruz) (010), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Gina M. Danaher (Cruz) (011), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Joann Kelly (Fiorina) (012), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Norman Stanley (Fiorina) (013), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Mary P. Geringer (Fiorina) (014), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Shaun Colin Murphy (Kasich) (015), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Matthew T. Murphy (Kasich) (016), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Kevin Suggs (Kasich) (017), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Darnell B. Macklin (Carson) (018), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Michael J. Uremovich (Carson) (019), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Symeon Brown (Paul) (020), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Margo McDermed (Rubio) (021), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Corey Brooks (Rubio) (022), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Raymond Tuminello (Rubio) (023), REP party, in race Delegate, National Convention 1st REP (0173) with 0 votes
Parsed result for candidate Dale Charletta (Trump) (001), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Gregg Fletcher (Trump) (002), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Renard Harvey (Trump) (003), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Alexandra Dumezich (Bush) (004), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Kathleen R. Rudis (Bush) (005), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Timothy J. Rudis (Bush) (006), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Laura Elsner (Cruz) (007), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Megan T. Jurewicz (Cruz) (008), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Cynthia L. Gilles (Cruz) (009), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Kristen McChesney (Christie) (010), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate William S. Senf (Christie) (011), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Kelly A. Senf (Christie) (012), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Daniel Marzano (Fiorina) (013), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Danielle Marzano (Fiorina) (014), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate James ''Jim'' Talbot (Fiorina) (015), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Dean A. Casper Jr. (Kasich) (016), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Jeannie Young Evans (Kasich) (017), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Kevin Truitt (Carson) (018), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Katherine L. Mays (Carson) (019), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Diane E. Wilczak (Carson) (020), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Matthew Foldi (Rubio) (021), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate David Smith (Rubio) (022), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Kathy Hilton (Rubio) (023), REP party, in race Alternate Delegate, Natl Conv 1st REP (0174) with 0 votes
Parsed result for candidate Jamie Boyd (Bush) (001), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Michael Bossert (Bush) (002), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Jeff Keast (Bush) (003), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Pleas Honeywood (Christie) (004), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Jeffrey Schimke (Christie) (005), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Karen W. Sommerfield (Christie) (006), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate David E. Smith (Cruz) (007), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Michael P. Hildebrand (Cruz) (008), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Lance L. Davis (Cruz) (009), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Taneequa Tolbert (Trump) (010), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Rita Gaus (Trump) (011), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate James Devors (Trump) (012), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Douglas Hoekstra (Fiorina) (013), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Charon Bryson (Fiorina) (014), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Quintin Barton (Fiorina) (015), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Judy A. Diekelman (Kasich) (016), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Jayne L. Raef (Kasich) (017), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Joseph W. Burgess (Kasich) (018), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate George L. Pearson (Carson) (019), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Dezaree Oliver-Pearson (Carson) (020), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Ceasar I. Leflore (Carson) (021), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Jay Farquhar (Rubio) (022), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Judy Ogalla (Rubio) (023), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Kurt Diekelman (Rubio) (024), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Anthony Raczek (Paul) (025), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Pedro Solis (Paul) (026), REP party, in race Delegate, National Convention 2nd REP (0175) with 0 votes
Parsed result for candidate Todd E. Arseneau (Bush) (001), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Darren C. Collier (Bush) (002), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Timothy Bukowski (Bush) (003), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Ryan Nolan (Trump) (004), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Shane Chomko (Trump) (005), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Keith Cooper (Trump) (006), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Israel J. Smith (Christie) (007), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Wanda Cantrell (Christie) (008), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Tondalaya Marie Nelson (Christie) (009), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Kathleen E. Valente (Cruz) (010), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Margaret Annunziata (Cruz) (011), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Caleb C. Fisher (Cruz) (012), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
Parsed result for candidate Holly Czajkowski (Fiorina) (013), REP party, in race Alternate Delegate, Natl Conv 2nd REP (0176) with 0 votes
